location,capital,stock,start_month,days
北,100000,0,7,111
南,1000000,0,7,130
南,1000000,0,7,121
北,1200000,0,7,121
北,1000000,0,7,121
南,1000000,0,7,107
北,300000,0,7,115
北,2000000,0,8,111
北,1000000,0,8,111
北,200000,0,8,102
北,200000,0,8,88
中,200000,0,8,98
南,900000,0,8,86
北,1000000,0,8,79
北,100000,0,8,95
北,5000000,0,8,85
中,45000,0,8,93
南,10000000,0,8,69
北,2000000,1,8,97
中,3000000,1,8,69
北,2000000,0,8,71
中,500000,0,9,69
南,400000,0,9,62
北,4000000,0,9,64
北,1000000,0,9,62
北,50000,0,9,37
北,1000000,0,10,57
南,5000000,0,10,40
北,100000,1,10,48
北,5000000,0,10,55
中,300000,0,10,25
中,100000,0,10,33
北,1000000,0,10,34
北,5000000,1,10,37
北,100000,1,10,35
北,1000000,0,10,28
南,100000,0,10,21
北,1000000,0,10,36
北,100000,0,10,28
南,1000000,0,1,335
北,1000000,0,1,327
北,500000,0,1,349
北,1000000,0,1,351
東,1000000,0,1,347
中,500000,0,1,349
北,900000,0,1,347
北,1500000,0,1,322
北,1000000,0,1,329
北,30000000,0,1,345
北,1000000,0,1,328
北,1000000,1,1,337
中,1000000,0,1,320
北,5000000,1,1,313
北,100000,0,1,322
南,500000,0,1,315
中,60000,0,1,330
中,1000000,0,2,302
中,500000,0,2,322
北,1000000,0,2,324
北,500000,0,2,331
中,500000,0,2,327
北,3000000,0,2,300
中,2000000,1,2,300
南,100000,0,2,314
中,500000,0,2,319
中,2000000,1,2,297
南,500000,0,2,294
南,5000000,0,2,301
北,300000,0,2,314
北,100000,0,2,314
北,5000000,0,2,312
北,500000,0,2,302
北,200000,1,2,297
北,1000000,0,2,304
中,10000000,0,2,310
北,200000,0,2,308
中,100000,0,2,289
北,500000,0,2,281
北,250000,0,2,308
中,7500000,0,2,301
北,1000000,0,3,275
南,750000,0,3,288
北,100000,0,3,291
北,2526000,0,3,295
北,650000,0,3,279
北,2000000,0,3,289
北,1500000,0,3,286
北,1000000,0,3,291
北,3000000,0,3,287
北,100000,0,3,260
北,10000000,1,3,259
北,200000,1,3,273
北,1000000,0,3,280
北,1000000,0,3,263
北,5000000,1,3,257
北,4171471,0,3,275
北,1000000,0,3,251
北,500000,0,4,268
北,100000,0,4,252
北,10000000,1,4,246
北,10000,0,4,260
南,1000000,0,4,254
北,880000,0,4,267
中,3000000,0,4,266
南,2000000,0,4,233
北,500000,0,4,237
北,1000000,0,4,261
北,1000000,0,4,240
北,600000,0,4,233
北,2000000,0,4,230
中,300000,0,4,250
南,450000,0,4,229
北,10000,0,4,253
南,100000,0,4,247
南,200000,0,4,234
南,1000000,0,4,241
